fdc_id,description,food_category_id,nutrient_id,name,amount,unit_name,food_category_label
168151,"Jujube, raw",9,1087,"Calcium, Ca",21.0,MG,fruit
168151,"Jujube, raw",9,1088,"Chlorine, Cl",0.0,MG,fruit
168151,"Jujube, raw",9,1089,"Iron, Fe",0.48,MG,fruit
168151,"Jujube, raw",9,1090,"Magnesium, Mg",10.0,MG,fruit
168151,"Jujube, raw",9,1091,"Phosphorus, P",23.0,MG,fruit
168151,"Jujube, raw",9,1092,"Potassium, K",250.0,MG,fruit
168151,"Jujube, raw",9,1093,"Sodium, Na",3.0,MG,fruit
168151,"Jujube, raw",9,1095,"Zinc, Zn",0.05,MG,fruit
168151,"Jujube, raw",9,1098,"Copper, Cu",0.073,MG,fruit
168151,"Jujube, raw",9,1100,"Iodine, I",0.0,UG,fruit
168151,"Jujube, raw",9,1101,"Manganese, Mn",0.084,MG,fruit
168151,"Jujube, raw",9,1103,"Selenium, Se",0.0,UG,fruit
168151,"Jujube, raw",9,1104,"Vitamin A, IU",40.0,IU,fruit
168151,"Jujube, raw",9,1110,"Vitamin D (D2 + D3), International Units",0.0,IU,fruit
168151,"Jujube, raw",9,1109,Vitamin E (alpha-tocopherol),0.0,MG,fruit
168151,"Jujube, raw",9,1165,Thiamin,0.02,MG,fruit
168151,"Jujube, raw",9,1166,Riboflavin,0.04,MG,fruit
168151,"Jujube, raw",9,1167,Niacin,0.9,MG,fruit
168151,"Jujube, raw",9,1170,Pantothenic acid,0.0,MG,fruit
168151,"Jujube, raw",9,1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG,fruit
168151,"Jujube, raw",9,1178,Vitamin B-12,0.0,UG,fruit
168151,"Jujube, raw",9,1180,"Choline, total",0.0,MG,fruit
168151,"Jujube, raw",9,1186,Folic acid,0.0,UG,fruit
168151,"Jujube, raw",9,1210,Tryptophan,0.0,G,fruit
168151,"Jujube, raw",9,1211,Threonine,0.0,G,fruit
168151,"Jujube, raw",9,1212,Isoleucine,0.0,G,fruit
168151,"Jujube, raw",9,1213,Leucine,0.0,G,fruit
168151,"Jujube, raw",9,1214,Lysine,0.0,G,fruit
168151,"Jujube, raw",9,1215,Methionine,0.0,G,fruit
168151,"Jujube, raw",9,1217,Phenylalanine,0.0,G,fruit
168151,"Jujube, raw",9,1219,Valine,0.0,G,fruit
168151,"Jujube, raw",9,1220,Arginine,0.0,G,fruit
168151,"Jujube, raw",9,1221,Histidine,0.0,G,fruit
168151,"Jujube, raw",9,1229,Cysteine and methionine(sulfer containig AA),0.0,G,fruit
168151,"Jujube, raw",9,1230,Phenylalanine and tyrosine (aromatic  AA),0.0,G,fruit
168151,"Jujube, raw",9,1272,PUFA 22:6 n-3 (DHA),0.0,G,fruit
168151,"Jujube, raw",9,1278,PUFA 20:5 n-3 (EPA),0.0,G,fruit
168151,"Jujube, raw",9,1316,"PUFA 18:2 n-6 c,c",0.0,G,fruit
168151,"Jujube, raw",9,1404,"PUFA 18:3 n-3 c,c,c (ALA)",0.0,G,fruit
168153,"Kiwifruit, green, raw",9,1003,Protein,1.14,G,fruit
168153,"Kiwifruit, green, raw",9,1004,Total lipid (fat),0.52,G,fruit
168153,"Kiwifruit, green, raw",9,1005,"Carbohydrate, by difference",14.66,G,fruit
168153,"Kiwifruit, green, raw",9,1008,Energy,61.0,KCAL,fruit
168153,"Kiwifruit, green, raw",9,1087,"Calcium, Ca",34.0,MG,fruit
168153,"Kiwifruit, green, raw",9,1088,"Chlorine, Cl",0.0,MG,fruit
168153,"Kiwifruit, green, raw",9,1089,"Iron, Fe",0.31,MG,fruit
168153,"Kiwifruit, green, raw",9,1090,"Magnesium, Mg",17.0,MG,fruit
168153,"Kiwifruit, green, raw",9,1091,"Phosphorus, P",34.0,MG,fruit
168153,"Kiwifruit, green, raw",9,1092,"Potassium, K",312.0,MG,fruit
168153,"Kiwifruit, green, raw",9,1093,"Sodium, Na",3.0,MG,fruit
168153,"Kiwifruit, green, raw",9,1095,"Zinc, Zn",0.14,MG,fruit
168153,"Kiwifruit, green, raw",9,1098,"Copper, Cu",0.13,MG,fruit
168153,"Kiwifruit, green, raw",9,1100,"Iodine, I",0.0,UG,fruit
168153,"Kiwifruit, green, raw",9,1101,"Manganese, Mn",0.098,MG,fruit
168153,"Kiwifruit, green, raw",9,1103,"Selenium, Se",0.2,UG,fruit
168153,"Kiwifruit, green, raw",9,1104,"Vitamin A, IU",87.0,IU,fruit
168153,"Kiwifruit, green, raw",9,1110,"Vitamin D (D2 + D3), International Units",0.0,IU,fruit
168153,"Kiwifruit, green, raw",9,1109,Vitamin E (alpha-tocopherol),1.46,MG,fruit
168153,"Kiwifruit, green, raw",9,1165,Thiamin,0.027,MG,fruit
168153,"Kiwifruit, green, raw",9,1166,Riboflavin,0.025,MG,fruit
168153,"Kiwifruit, green, raw",9,1167,Niacin,0.341,MG,fruit
168153,"Kiwifruit, green, raw",9,1170,Pantothenic acid,0.183,MG,fruit
168153,"Kiwifruit, green, raw",9,1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG,fruit
168153,"Kiwifruit, green, raw",9,1178,Vitamin B-12,0.0,UG,fruit
168153,"Kiwifruit, green, raw",9,1180,"Choline, total",7.8,MG,fruit
168153,"Kiwifruit, green, raw",9,1186,Folic acid,0.0,UG,fruit
168153,"Kiwifruit, green, raw",9,1210,Tryptophan,0.015,G,fruit
168153,"Kiwifruit, green, raw",9,1211,Threonine,0.047,G,fruit
168153,"Kiwifruit, green, raw",9,1212,Isoleucine,0.051,G,fruit
168153,"Kiwifruit, green, raw",9,1213,Leucine,0.066,G,fruit
168153,"Kiwifruit, green, raw",9,1214,Lysine,0.061,G,fruit
168153,"Kiwifruit, green, raw",9,1215,Methionine,0.024,G,fruit
168153,"Kiwifruit, green, raw",9,1217,Phenylalanine,0.044,G,fruit
168153,"Kiwifruit, green, raw",9,1219,Valine,0.057,G,fruit
168153,"Kiwifruit, green, raw",9,1220,Arginine,0.081,G,fruit
168153,"Kiwifruit, green, raw",9,1221,Histidine,0.027,G,fruit
168153,"Kiwifruit, green, raw",9,1229,Cysteine and methionine(sulfer containig AA),0.0,G,fruit
